PCR -0,0000000000000000000000000000000000000000
PCR -1,0000000000000000000000000000000000000000
PCR -2,0000000000000000000000000000000000000000
PCR -3,0000000000000000000000000000000000000000
PCR -4,0000000000000000000000000000000000000000
PCR -5,0000000000000000000000000000000000000000
PCR -6,0000000000000000000000000000000000000000
PCR -7,0000000000000000000000000000000000000000
PCR -8,0000000000000000000000000000000000000000
PCR -9,0000000000000000000000000000000000000000
PCR -10,0000000000000000000000000000000000000000
PCR -11,0000000000000000000000000000000000000000
PCR -12,0000000000000000000000000000000000000000
PCR -13,0000000000000000000000000000000000000000
PCR -14,0000000000000000000000000000000000000000
PCR -15,0000000000000000000000000000000000000000
PCR -16,0000000000000000000000000000000000000000
PCR -18,a3b141f9d736aae514646605082e8e18c3ed5ec8
PCR -19,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
PCR -20,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
PCR -21,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
PCR -22,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
PCR -23,0000000000000000000000000000000000000000
